"uri","date","title","uin"
"http://data.parliament.uk/resources/1093413","2019-03-22","Motion to sit in private","CD:2019-03-22:641"
"http://data.parliament.uk/resources/1092053","2019-03-20","draft Organic Production and Control (Amendment) (EU Exit) Regulations 2019","CD:2019-03-20:639"
"http://data.parliament.uk/resources/1092054","2019-03-20","draft Product Safety and Metrology etc. (Amendment etc.) (EU Exit) Regulations 2019","CD:2019-03-20:636"
"http://data.parliament.uk/resources/1092055","2019-03-20","Humble address to annul Amendments Relating to the Provision of Integrated Care Regulations 2019 (S.I., 2019, No. 248)","CD:2019-03-20:637"
"http://data.parliament.uk/resources/1092056","2019-03-20","draft Organic Production (Control of Imports) (Amendment) (EU Exit) Regulations 2019","CD:2019-03-20:638"
"http://data.parliament.uk/resources/1092058","2019-03-20","Draft Non-Domestic Rating (Rates Retention and Levy and Safety Net) (Amendment) and (Levy Account: Basis of Distribution) Regulations 2019","CD:2019-03-20:640"
"http://data.parliament.uk/resources/1091196","2019-03-19","Foreign Affairs Committee: membership change","CD:2019-03-19:635"
"http://data.parliament.uk/resources/1090450","2019-03-18","Human Medicines (Amendment) Regulations (S.I. 2019 No. 62)","CD:2019-03-18:634"
"http://data.parliament.uk/resources/1088670","2019-03-14","UK's withdrawal from the European Union: Sarah Wollaston's amendment (h)","CD:2019-03-14:629"
"http://data.parliament.uk/resources/1088673","2019-03-14","UK's withdrawal from the European Union: Lucy Powell's amendment to Hilary Benn's amendment (i)","CD:2019-03-14:630"
"http://data.parliament.uk/resources/1088674","2019-03-14","UK's withdrawal from the European Union: Hilary Benn's amendment (i)","CD:2019-03-14:631"
"http://data.parliament.uk/resources/1088675","2019-03-14","UK's withdrawal from the EU: Mr Corbyn's amendment (e)","CD:2019-03-14:632"
"http://data.parliament.uk/resources/1088679","2019-03-14","UK's withdrawal from the EU: Prime Minister's motion","CD:2019-03-14:633"
"http://data.parliament.uk/resources/1087761","2019-03-13","draft Waste (Miscellaneous Amendments) (EU Exit) Regulations 2019","CD:2019-03-13:624"
"http://data.parliament.uk/resources/1087762","2019-03-13","draft Immigration (European Economic Area Nationals) (EU Exit) Order 2019","CD:2019-03-13:625"
"http://data.parliament.uk/resources/1087775","2019-03-13","Amendment (f) to the motion on the UK's withdrawal from the European Union","CD:2019-03-13:627"
"http://data.parliament.uk/resources/1087777","2019-03-13","Amendment (a) to the motion on the UK's withdrawal from the European Union","CD:2019-03-13:626"
"http://data.parliament.uk/resources/1087778","2019-03-13","Main motion, as amended by amendment (a), on UK's withdrawal from the European Union","CD:2019-03-13:628"
"http://data.parliament.uk/resources/1086876","2019-03-12","Section 13(1)(b) of the European Union (Withdrawal) Act main motion","CD:2019-03-12:623"
"http://data.parliament.uk/resources/1082511","2019-03-06","Draft Transparency of Securities Financing Transactions and of Reuse (Amendment) (EU Exit) Regulations 2019","CD:2019-03-06:617"
"http://data.parliament.uk/resources/1082512","2019-03-06","Draft Electricity and Gas (Market Integrity and Transparency) (Amendment) (EU Exit) Regulations 2019","CD:2019-03-06:618"
"http://data.parliament.uk/resources/1082513","2019-03-06","Draft Gas (Security of Supply and Network Codes) (Amendment) (EU Exit) Regulations 2019","CD:2019-03-06:619"
